Factory,Region,Distance_km
Lot's O' Nuts,Atlantic,3313.279674146417
Lot's O' Nuts,Gulf,2100.5308123042055
Lot's O' Nuts,Interior,1652.3798078410057
Lot's O' Nuts,Pacific,878.5208852512897
Wicked Choccy's,Atlantic,966.7174915154925
Wicked Choccy's,Gulf,897.8239432041659
Wicked Choccy's,Interior,1472.986345145029
Wicked Choccy's,Pacific,3580.9141948722836
Sugar Shack,Atlantic,1907.5144595175952
Sugar Shack,Gulf,2136.7328059710176
Sugar Shack,Interior,1018.4239278200666
Sugar Shack,Pacific,2294.990439990625
Secret Factory,Atlantic,1290.869670067162
Secret Factory,Gulf,1329.3492378052736
Secret Factory,Interior,464.37744638282044
Secret Factory,Pacific,2570.299818307878
The Other Factory,Atlantic,1367.519350821039
The Other Factory,Gulf,624.6433919468154
The Other Factory,Interior,620.689728458871
The Other Factory,Pacific,2696.2783524760084
