Factory,Product Name,Region,Ship Mode,Orders,Units,Sales,Gross_Profit,Avg_Lead_Time,Lead_Time_SD,Profit_Margin,Cluster
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Atlantic,First Class,85,382,1375.2,916.8,1338.5045871559632,249.40661519090736,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Atlantic,Same Day,18,75,270.0,180.0,1368.8636363636363,201.36635540951013,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Atlantic,Second Class,81,345,1242.0,828.0,1340.0326086956522,265.03574094814667,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Atlantic,Standard Class,269,1178,4240.8,2827.2,1307.003095975232,264.37575013125837,0.6666666666666666,1
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Gulf,First Class,36,140,504.0,336.0,1299.5384615384614,282.89898198490783,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Gulf,Same Day,14,90,324.0,216.0,1236.0,249.87768436348443,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Gulf,Second Class,50,210,756.0,504.0,1367.0862068965516,270.2159165571091,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Gulf,Standard Class,143,642,2311.2000000000003,1540.8,1293.4186046511627,277.5118337971497,0.6666666666666665,1
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Interior,First Class,46,203,730.8000000000001,487.2,1346.111111111111,259.58433149408836,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Interior,Same Day,20,79,284.4,189.6,1391.0833333333333,232.9681666379909,0.6666666666666667,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Interior,Second Class,61,292,1051.2,700.8,1302.0405405405406,261.9102868043759,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Interior,Standard Class,221,1021,3675.6,2450.4,1299.6782945736434,262.6062304852782,0.6666666666666667,1
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Pacific,First Class,64,269,968.4,645.6,1345.472972972973,256.7566527114502,0.6666666666666667,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Pacific,Same Day,28,113,406.8,271.2,1281.5,244.41058586476703,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Pacific,Second Class,103,480,1728.0,1152.0,1329.8181818181818,275.2680511792095,0.6666666666666666,0
Lot's O' Nuts,Wonka Bar - Fudge Mallows,Pacific,Standard Class,286,1339,4820.4,3213.6,1304.3245614035088,266.7716464689931,0.6666666666666667,1
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Atlantic,First Class,65,345,1204.05,859.05,1354.5443037974683,233.68221888339193,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Atlantic,Same Day,23,109,380.41,271.41,1369.0,278.31468250884643,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Atlantic,Second Class,78,341,1190.0900000000001,849.09,1333.6,246.61541728964116,0.7134670487106016,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Atlantic,Standard Class,242,1020,3559.8,2539.8,1373.0210526315789,243.73156754924977,0.7134670487106017,1
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Gulf,First Class,34,133,464.17,331.17,1326.175,268.595386055413,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Gulf,Same Day,12,68,237.32,169.32,1439.8666666666666,234.0545927362939,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Gulf,Second Class,52,238,830.62,592.62,1328.676923076923,283.2944089024432,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Gulf,Standard Class,152,635,2216.15,1581.15,1309.7828571428572,255.99975023078937,0.7134670487106017,1
